_id,X,Y
600399bc2bc024099158542d,-4.5935817,48.13648
60039df12bc02409910864e2,-4.758715,48.06632
60039bbe2bc02409919aaf67,-4.472955,48.340054
60039e102bc0240991163d08,-4.678545,48.304527
600399bc2bc0240991585418,-4.59364,48.13646
60039c032bc0240991ba5a37,-4.44887,48.38294
60039c032bc0240991bb5d24,-4.592973,48.134605
60039b9c2bc02409918a6cae,-4.462722,48.13622
60039e512bc024099133eaad,-4.4783816,48.34225
60039a5a2bc024099169b2ff,-4.445865,48.135105
60039c6d2bc0240991e5c98f,-4.5124984,48.370834
60039c8d2bc0240991f44bea,-4.518862,48.350636
60039a692bc024099170d116,-4.4970717,48.38217
60039a922bc024099181dbc7,-4.4970584,48.379536
60039bdc2bc0240991a8981d,-4.6519585,48.308167
60039c3d2bc0240991ce2f46,-4.4851217,48.381382
600399bc2bc02409915853ac,-4.59389,48.136375
6003990d2bc02409914d45de,-4.4861,48.381554
600399bc2bc0240991585378,-4.5939965,48.136345
60039bbe2bc02409919aacb9,-4.4727435,48.339493
60039e102bc0240991163d36,-4.6779666,48.30472
60039df12bc02409910864dc,-4.759165,48.066
60039c032bc0240991bb5c23,-4.593478,48.134396
60039c032bc0240991ba60e7,-4.448875,48.382954
600399bc2bc024099158530a,-4.5942183,48.136288
60039e032bc02409910fd1be,-4.476655,48.3811
60039e102bc0240991163d4d,-4.677582,48.304844
60039e512bc024099133eaae,-4.4783816,48.34225
600398ce2bc02409912f9b43,-4.4857583,48.379814
60039bbe2bc02409919aaa61,-4.47256,48.339012
60039c8d2bc0240991f44bd6,-4.5195584,48.350407
60039b9c2bc02409918a6cc5,-4.46338,48.13629
600399d42bc024099162a8d5,-4.448365,48.146965
60039a8e2bc024099181526c,-4.49706,48.37953
60039bdc2bc0240991a8974a,-4.6527033,48.30805
60039c3d2bc0240991ce21e4,-4.48512,48.38138
6003990d2bc02409914d8809,-4.4861016,48.38156
600399bc2bc02409915851d6,-4.5945835,48.13619
60039bbe2bc02409919aa86e,-4.4724116,48.33861
60039df12bc02409910864d8,-4.759565,48.065716
60039e102bc0240991163d74,-4.677058,48.30502
600399bc2bc0240991585176,-4.594752,48.136158
60039c032bc0240991ba65d6,-4.4488783,48.38296
60039c032bc0240991bb5b20,-4.594005,48.134193
60039e512bc024099133eaa1,-4.4783816,48.34223
60039b9c2bc02409918a6cdd,-4.4638667,48.136353
60039c8d2bc0240991f44bbc,-4.520165,48.350166
60039a8e2bc0240991814dbf,-4.4970617,48.37953
60039bbe2bc02409919aa616,-4.472225,48.33813
600399bc2bc0240991585121,-4.59492,48.13613
60039bdc2bc0240991a8966e,-4.65344,48.307934
60039e102bc0240991163d92,-4.6766768,48.30514
60039c3a2bc0240991cdbcaa,-4.485115,48.38136
600399102bc02409914e0c9f,-4.486105,48.381565
600399c32bc02409915a4b37,-4.4982834,48.38027
60039e032bc024099110a04f,-4.4510283,48.38381
60039c032bc0240991ba65d7,-4.4488783,48.38296
60039e102bc0240991163db4,-4.676222,48.30528
600399bc2bc0240991585015,-4.5953083,48.136066
60039e512bc024099133eaa2,-4.478365,48.34223
60039b9c2bc02409918a6cf4,-4.4644184,48.136406
60039a692bc024099170d117,-4.4970717,48.38217
60039c8d2bc0240991f44ba8,-4.521025,48.349945
600399bc2bc0240991584ff6,-4.5955367,48.136055
60039a922bc024099181dbc8,-4.4970584,48.379536
60039bdc2bc0240991a895ca,-4.6541734,48.30782
60039c3a2bc0240991cdbba1,-4.4851165,48.38136
60039bbe2bc02409919aa19f,-4.4718065,48.337185
60039e102bc0240991163dd7,-4.6757135,48.30545
600399102bc02409914e0a22,-4.486107,48.381565
600399bc2bc0240991584fda,-4.5957117,48.13604
60039df12bc02409910864d2,-4.7603483,48.065166
600399bc2bc0240991584fd9,-4.5958285,48.13604
60039c032bc0240991ba6173,-4.44887,48.382954
60039c032bc0240991bb59e0,-4.595195,48.133972
60039bbe2bc02409919a9f05,-4.471565,48.336636
60039e512bc024099133eaa3,-4.478365,48.34223
60039c8d2bc0240991f44b93,-4.52166,48.34976
60039e102bc0240991163df2,-4.67528,48.305565
600399bc2bc0240991584fd3,-4.5960984,48.136036
60039a922bc02409918260be,-4.497055,48.37954
60039bdc2bc0240991a894e2,-4.654908,48.307697
60039c3d2bc0240991cdf1c0,-4.48512,48.381367
6003990d2bc02409914d828c,-4.486107,48.38156
600399bc2bc0240991584fe4,-4.5962067,48.136047
60039bbe2bc02409919a9d08,-4.471395,48.336243
60039df12bc02409910864cd,-4.7607484,48.0648
60039e102bc0240991163e19,-4.6748486,48.30572
60039c402bc0240991d00b7d,-4.5118484,48.36465
60039e132bc024099117e41c,-4.4772935,48.382206
600399bc2bc0240991584fd2,-4.5963817,48.136036
60039c032bc0240991bb5944,-4.5957985,48.133877
60039e512bc024099133eaa4,-4.478365,48.34223
60039c032bc0240991ba5a5b,-4.448867,48.38294
60039b9c2bc02409918a6d1c,-4.4655085,48.13654
600399bc2bc0240991584fd1,-4.596598,48.136036
60039b8e2bc02409918393a1,-4.497045,48.379547
60039bbe2bc02409919a9ac2,-4.4712033,48.335762
60039c8d2bc0240991f44b7f,-4.5223665,48.349552
60039e102bc0240991163e31,-4.6744885,48.305832
60039bdc2bc0240991a893e0,-4.655645,48.30754
60039c3d2bc0240991ce20cb,-4.4851284,48.38138
