_id,X,Y
60039bef2bc0240991b16857,-4.50088,48.35698
60039b8f2bc0240991848034,-4.4970617,48.379555
60039b9c2bc02409918a7d6d,-4.4137635,48.15062
60039bef2bc0240991b16855,-4.500963,48.356915
60039bbe2bc02409919ab3fc,-4.474253,48.341007
60039bef2bc0240991b16853,-4.501045,48.356842
60039a6c2bc024099171a177,-4.497015,48.382206
60039c032bc0240991bb75e8,-4.56926,48.13976
60039e032bc02409910fb449,-4.476655,48.38109
60039bef2bc0240991b16850,-4.501128,48.356773
60039dd32bc0240991fa9f6a,-4.478305,48.383118
600398ce2bc02409912fd3b8,-4.4857583,48.37982
60039c362bc0240991cbd9d8,-4.485093,48.38134
60039bef2bc0240991b1684f,-4.5012116,48.3567
60039e642bc02409913bf521,-4.5142384,48.369167
600399102bc02409914e3d3c,-4.48609,48.381565
60039bbe2bc02409919ab131,-4.473972,48.340412
60039bef2bc0240991b1684e,-4.501293,48.356632
60039b8f2bc024099183f151,-4.49706,48.37955
60039b9c2bc02409918a7d82,-4.414338,48.15069
60039bef2bc0240991b1684b,-4.501372,48.35656
60039bef2bc0240991b16849,-4.50145,48.356483
60039bbe2bc02409919aaf1b,-4.473767,48.33999
60039c032bc0240991bb7580,-4.569948,48.139675
60039bef2bc0240991b16848,-4.501527,48.356407
60039c362bc0240991cbed60,-4.48509,48.38134
60039dd32bc0240991fab3fc,-4.4783015,48.38312
600398ce2bc02409912fd3b9,-4.4857583,48.37982
600399102bc02409914e3b5e,-4.4860916,48.381565
60039bef2bc0240991b16844,-4.501605,48.356335
60039e642bc02409913bf522,-4.5142384,48.369167
60039bef2bc0240991b1683f,-4.501682,48.35626
600399ca2bc02409915d8034,-4.4822335,48.38086
60039b8e2bc0240991836bc2,-4.4970565,48.379547
60039bbe2bc02409919aac41,-4.4734683,48.3394
60039bef2bc0240991b1683c,-4.5017567,48.35618
600399bc2bc024099157dd4c,-4.512192,48.118393
60039bef2bc0240991b16839,-4.50183,48.356102
60039a6c2bc02409917192f7,-4.49701,48.3822
60039bef2bc0240991b16835,-4.501905,48.356026
60039c332bc0240991ca789a,-4.4850883,48.381332
60039dd32bc0240991fab4ac,-4.478298,48.38312
600398ce2bc02409912f9b3c,-4.4857583,48.379814
600399102bc02409914e6e0c,-4.4861016,48.38157
60039bbe2bc02409919aa9cd,-4.4732018,48.3389
60039bef2bc0240991b16833,-4.50198,48.355946
60039e642bc02409913bf547,-4.5142365,48.369167
600399c32bc02409915a6265,-4.4982815,48.380276
60039bef2bc0240991b16830,-4.502055,48.355865
600399ca2bc02409915d804a,-4.4822316,48.38086
60039b8e2bc02409918376e8,-4.497053,48.379547
60039bef2bc0240991b1682d,-4.5021315,48.35579
60039bbe2bc02409919aa761,-4.47294,48.3384
60039bef2bc0240991b16820,-4.502207,48.355713
60039a6c2bc02409917192d9,-4.4970117,48.3822
60039bef2bc0240991b16817,-4.502283,48.355633
60039c2e2bc0240991c80fcf,-4.485095,48.381325
60039dd32bc0240991fab57d,-4.478295,48.38312
600398ce2bc02409912f679d,-4.48576,48.379807
60039bef2bc0240991b1680d,-4.50236,48.355553
600399102bc02409914ead3c,-4.4861,48.381577
600399ca2bc02409915d804b,-4.4822316,48.38086
60039bbe2bc02409919aa4ee,-4.47271,48.337894
60039bef2bc0240991b16805,-4.5024366,48.355473
60039e642bc02409913bf563,-4.514235,48.369167
60039bef2bc0240991b167ff,-4.5025134,48.355392
600399bc2bc024099157def4,-4.5131636,48.1187
60039bef2bc0240991b167f8,-4.5025883,48.355316
60039c032bc0240991bb7308,-4.57168,48.139168
60039a6c2bc0240991713266,-4.49704,48.38218
60039bbe2bc02409919aa287,-4.472503,48.337376
60039bef2bc0240991b167f1,-4.502663,48.355236
60039c2b2bc0240991c7d2e2,-4.4851,48.381325
60039dd32bc0240991faa0e9,-4.478295,48.383118
600398ce2bc02409912f4110,-4.48576,48.3798
600399102bc02409914ec44c,-4.486095,48.38158
60039bef2bc0240991b167ec,-4.5027385,48.355152
60039e642bc02409913bf564,-4.514235,48.369167
60039bef2bc0240991b167e7,-4.5028133,48.355072
600399ca2bc02409915d7df4,-4.4822335,48.380856
60039bbe2bc02409919aa07d,-4.472325,48.336952
60039e132bc024099117e32c,-4.4772835,48.3822
60039b8e2bc024099183719e,-4.497055,48.379547
60039bef2bc0240991b167df,-4.502888,48.354992
600399bc2bc024099157dfdc,-4.51377,48.118893
60039bef2bc0240991b167d8,-4.502965,48.35491
60039a692bc024099170042e,-4.497085,48.38214
60039dd32bc0240991faa0ea,-4.478295,48.383118
600398ce2bc02409912f4237,-4.4857583,48.3798
60039bef2bc0240991b167d2,-4.5030384,48.35483
60039c2b2bc0240991c79d14,-4.485105,48.381325
60039bbe2bc02409919a9da5,-4.4720783,48.33636
600399102bc02409914ec609,-4.4860916,48.38158
60039bef2bc0240991b167cb,-4.50311,48.35475
60039e642bc02409913be580,-4.514233,48.369164
600399ca2bc02409915d8035,-4.4822335,48.38086
60039bef2bc0240991b167c5,-4.5031834,48.354668
60039b8e2bc0240991836bc3,-4.4970565,48.379547
60039bef2bc0240991b167bf,-4.503258,48.354588
60039bbe2bc02409919a9b8d,-4.471915,48.335938
600399bc2bc024099157e09e,-4.514273,48.119045
60039bef2bc0240991b167b8,-4.5033336,48.3545
60039c032bc0240991bb713c,-4.572768,48.1388
60039a692bc02409916feedf,-4.4971066,48.382126
60039bef2bc0240991b167b2,-4.5034065,48.35442
60039dd32bc0240991fab4ad,-4.478298,48.38312
600398ce2bc02409912f6974,-4.4857583,48.379807
60039c2b2bc0240991c76662,-4.4851117,48.381325
60039bef2bc0240991b167ae,-4.5034785,48.354336
60039e642bc02409913be581,-4.514233,48.369164
600399102bc02409914eaf3c,-4.4860883,48.381577
600399ca2bc02409915d8036,-4.4822335,48.38086
60039bbe2bc02409919a98bf,-4.4716916,48.335346
60039bef2bc0240991b167a7,-4.5035515,48.35425
60039b8e2bc024099183719f,-4.497055,48.379547
60039bef2bc0240991b167a0,-4.503625,48.35417
600399bc2bc024099157e189,-4.514768,48.119225
60039bef2bc0240991b1679b,-4.5036983,48.354088
60039bbe2bc02409919a96b9,-4.4715266,48.334927
60039a692bc02409916fe820,-4.497122,48.38212
60039bef2bc0240991b16793,-4.503772,48.354004
60039c032bc0240991bb705c,-4.57342,48.138638
60039c2b2bc0240991c753c5,-4.485115,48.381325
60039dd32bc0240991fabf24,-4.478305,48.383125
600399102bc02409914e98cf,-4.486087,48.381573
60039bef2bc0240991b1678e,-4.5038433,48.35392
60039c6d2bc0240991e5c78f,-4.5124984,48.370834
60039e642bc02409913be582,-4.514233,48.369164
600399ca2bc02409915d8037,-4.4822335,48.38086
60039bef2bc0240991b16787,-4.503915,48.353836
60039b8e2bc0240991836bc4,-4.4970565,48.379547
60039bbe2bc02409919a93f5,-4.47127,48.33434
60039bef2bc0240991b16783,-4.5039883,48.353752
60039bef2bc0240991b1677c,-4.5040617,48.35367
60039c032bc0240991bb6ff7,-4.573913,48.138542
60039a692bc02409916fe57b,-4.497125,48.382114
60039c8d2bc0240991f45d52,-4.4716115,48.38242
60039bef2bc0240991b16776,-4.504133,48.35359
60039c2b2bc0240991c74c1f,-4.4851165,48.381325
60039dd32bc0240991fabe3c,-4.47831,48.383125
600398ce2bc02409912fa0e5,-4.4857516,48.379814
600399102bc02409914e40b4,-4.486087,48.381565
60039bbe2bc02409919a9191,-4.47105,48.33383
60039bef2bc0240991b16771,-4.504205,48.353504
60039e642bc02409913bdea4,-4.5142317,48.36916
600399ca2bc02409915d8038,-4.4822335,48.38086
60039bef2bc0240991b1676b,-4.5042768,48.35342
60039b8e2bc02409918371a0,-4.497055,48.379547
60039bef2bc0240991b16764,-4.5043483,48.353333
